Subject, sex, Trial, LocationX1, LocationY1, LocationZ1, ResponseX1, ResponseY1, ResponseZ1, SpatialError1, GoalTime1, ResponseTime1, TemporalError1, LocationX2, LocationY2, LocationZ2, ResponseX2, ResponseY2, ResponseZ2, SpatialError2, GoalTime2, ResponseTime2, TemporalError2, LocationX3, LocationY3, LocationZ3, ResponseX3, ResponseY3, ResponseZ3, SpatialError3, GoalTime3, ResponseTime3, TemporalError3,
Demo_Cris1, Male,1,-1.78,0.086,4.55,-1.780002,-0.06430697,5.659682,1.119815,1.73,1.658325,-0.07167482,-27.05,4.48,4.55,-27.05,5.114558,4.507689,0.6359667,4.97,4.30249,-0.6675096,-51.33,3.02,-2.86,-51.33,3.341528,-4.277266,1.45328,8.25,6.436401,-1.813599, 
Demo_Cris1, Male,2,-1.78,3.36,-5.31,-1.78,3.411648,-8.143933,2.834404,1.73,1.751709,0.02170897,-27.05,0.086,-5.4,-27.05,-0.1344032,-5.940135,0.5833728,4.97,4.830811,-0.1391892,-51.33,3.02,3.09,-51.33001,4.743904,4.377433,2.151588,8.25,5.575439,-2.674561, 
Demo_Cris1, Male,3,-1.78,2.48,-5.31,-1.78,2.900774,-5.809941,0.6534457,1.73,2.197266,0.4672656,-27.05,1.16,5.94,-27.05,1.488365,4.778151,1.20736,4.97,3.175537,-1.794463,-51.33,3.02,3.09,-51.33001,3.601971,2.91495,0.6077275,8.25,5.700195,-2.549805, 
Demo_Cris1, Male,4,-1.78,0.086,3.09,-1.780002,-0.4048896,4.097008,1.120285,1.73,1.777344,0.04734373,-27.05,0.086,-2.86,-27.05,-0.004175901,-3.265572,0.4154764,4.97,2.43811,-2.531889,-51.33,4.48,5.94,-51.33001,4.643732,4.25723,1.690717,8.25,5.187744,-3.062256, 
Demo_Cris1, Male,5,-1.78,4.48,-2.86,-1.78,7.007802,-5.970214,4.007895,1.73,1.769165,0.03916502,-27.05,3.36,5.94,-27.05,3.131171,4.918391,1.046923,4.97,2.377808,-2.592192,-51.33,4.48,-5.417,-51.33,6.777356,-8.534495,3.872547,8.25,5.317993,-2.932007, 
Demo_Cris1, Male,6,-1.78,1.16,5.94,-1.780002,0.857278,7.022013,1.123562,1.73,1.294922,-0.4350781,-27.05,4.48,5.94,-27.05,5.124576,5.880031,0.6473597,4.97,2.959717,-2.010283,-51.33,1.16,-5.31,-51.33,-0.2545817,-5.359103,1.415434,8.25,4.319702,-3.930298, 
Demo_Cris1, Male,7,-1.78,0.086,-5.36,-1.78,-0.5050519,-6.711483,1.475075,1.73,1.407715,-0.3222852,-27.05,1.16,5.94,-27.05,0.4766407,5.729774,0.7149649,4.97,3.208374,-1.761626,-51.33,3.36,5.94,-51.33001,3.632015,3.576073,2.379526,8.25,4.609253,-3.640747, 
Demo_Cris1, Male,8,-1.78,2.48,-5.31,-1.78,5.044442,-7.482801,3.361165,1.73,2.142334,0.412334,-27.05,4.48,3.09,-27.05,4.783995,3.956749,0.9185139,4.97,2.921509,-2.048491,-51.33,0.086,5.94,-51.33001,-0.1243658,5.659612,0.3505302,8.25,6.158569,-2.091431, 
Demo_Cris1, Male,9,-1.78,4.48,-2.86,-1.78,5.88588,-4.918415,2.492704,1.73,1.525391,-0.2046094,-27.05,4.48,4.55,-27.05,4.944267,4.417536,0.4827948,4.97,4.168701,-0.8012986,-51.33,0.086,5.94,-51.33001,-0.03421187,4.898318,1.048595,8.25,5.375,-2.875, 
Demo_Cris1, Male,10,-1.78,1.16,5.94,-1.780002,1.61858,6.431001,0.6718466,1.73,2.114014,0.3840137,-27.05,2.69,-5.4,-27.05,3.371579,-6.911793,1.658333,4.97,3.494507,-1.475493,-51.33,4.48,-2.86,-51.33,5.885848,-5.599511,3.079177,8.25,6.860107,-1.389893, 
Demo_Cris1, Male,11,-1.78,0.086,3.09,-1.780002,0.1961391,3.405826,0.3344797,1.73,1.903076,0.1730762,-27.05,2.69,5.94,-27.05,3.622005,4.357433,1.836614,4.97,3.961304,-1.008696,-51.33,3.02,-5.3744,-51.33,3.551879,-7.412591,2.106446,8.25,6.595581,-1.654419, 
Demo_Cris1, Male,12,-1.78,4.48,3.09,-1.780002,5.515244,4.197179,1.515775,1.73,2.376343,0.6463428,-27.05,0.086,-4.11,-27.05,-0.1243851,-5.218905,1.128686,4.97,4.550049,-0.419951,-51.33,3.02,5.94,-51.33001,2.580225,3.876583,2.109761,8.25,8.537598,0.2875977, 
Demo_Cris1, Male,13,-1.78,4.48,5.94,-1.780002,3.822349,5.018585,1.132038,1.73,1.877563,0.1475635,-27.05,4.48,-5.4,-27.05,4.804021,-7.142186,1.772061,4.97,3.214355,-1.755644,-51.33,4.48,3.09,-51.33,4.353245,2.374031,0.7271031,8.25,6.2146,-2.0354, 
Demo_Cris1, Male,14,-1.78,4.48,-4.11,-1.78,5.745634,-8.935287,4.988509,1.73,2.078857,0.3488574,-27.05,0.086,-5.4,-27.05,-0.4148743,-6.6814,1.375813,4.97,3.309326,-1.660674,-51.33,0.086,3.09,-51.33,0.8573073,1.87318,1.440682,8.25,4.961914,-3.288086, 
Demo_Cris1, Male,15,-1.78,0.086,-2.86,-1.780001,0.3864675,-2.524319,0.4505131,1.73,1.459717,-0.2702832,-27.05,3.36,-5.31,-27.05,4.202995,-7.082083,1.962376,4.97,4.539063,-0.4309373,-51.33,4.48,3.09,-51.33001,5.805712,3.566056,1.408596,8.25,7.118652,-1.131348, 
Demo_Cris1, Male,17,-1.78,0.086,5.94,-1.780002,-0.645299,8.314223,2.484298,1.73,2.686413,0.9564128,-27.05,2.69,5.94,-27.05,2.670381,4.05692,1.883182,4.97,3.954697,-1.015303,-51.33,0.086,-5.41,-51.33,-0.02419329,-5.73975,0.3476746,8.25,5.792118,-2.457882,
Demo_Cris1, Male,18,-1.78,2.48,-2.86,-1.78,3.581939,-4.427575,1.916132,1.73,2.056,0.3259997,-27.05,1.16,-5.31,-27.05,1.51842,-5.26899,0.360759,4.97,3.532745,-1.437254,-51.33,1.16,5.94,-51.33001,1.027596,5.960123,0.133924,8.25,6.461922,-1.788078,
Demo_Cris1, Male,19,-1.78,2.25,5.94,-1.780002,1.889045,4.076973,1.897671,1.73,2.121536,0.3915362,-27.05,1.16,-5.31,-27.05,1.027586,-5.950153,0.6537043,4.97,4.391418,-0.5785813,-51.33,3.02,3.09,-51.33,3.301455,2.51427,0.6408448,8.25,6.22258,-2.02742,
Demo_Cris1, Male,20,-1.78,4.48,4.55,-1.780002,6.677238,5.098722,2.264718,1.73,2.191498,0.4614978,-27.05,0.086,-4.11,-27.05,0.08597875,-3.906666,0.2033339,4.97,4.627975,-0.3420243,-51.33,1.16,-5.31,-51.33,2.790587,-7.021927,2.364215,8.25,6.609421,-1.640579,
Demo_Cris1, Male,21,-1.78,4.48,-5.31,-1.78,4.70386,-9.566366,4.262249,1.73,2.167328,0.4373279,-27.05,1.16,-5.31,-27.05,-0.2646205,-6.150495,1.654078,4.97,4.118134,-0.8518662,-51.33,4.48,3.09,-51.33001,6.046119,4.55774,2.14639,8.25,6.080093,-2.169907,
Demo_Cris1, Male,22,-1.78,3.36,-5.31,-1.78,2.399918,-8.304208,3.144366,1.73,3.340271,1.610271,-27.05,0.086,4.55,-27.05,0.3464234,3.656237,0.9309316,4.97,4.161865,-0.8081346,-51.33,1.16,5.94,-51.33001,5.124556,3.696276,4.555436,8.25,6.279999,-1.970001,
Demo_Cris1, Male,23,-1.78,2.25,3.09,-1.780001,2.319782,1.993408,1.09881,1.73,2.227112,0.4971118,-27.05,0.086,-5.4,-27.05,0.4365783,-4.397504,1.062028,4.97,4.498291,-0.4717088,-51.33,4.48,4.55,-51.33001,4.623706,3.536005,1.024128,8.25,6.164978,-2.085022,
Demo_Cris1, Male,24,-1.78,0.086,5.94,-1.780002,-0.1043701,5.950179,0.190642,1.73,2.624908,0.8949084,-27.05,4.48,5.94,-27.05,5.15462,4.838254,1.291881,4.97,3.63327,-1.33673,-51.33,4.48,-4.11,-51.33,5.104518,-6.801553,2.763056,8.25,5.449799,-2.800201,
Demo_Cris1, Male,25,-1.78,2.25,3.09,-1.780001,2.259672,1.853169,1.236869,1.73,2.693329,0.9633288,-27.05,0.086,-2.86,-27.05,0.3464236,-3.365743,0.5688556,4.97,5.316132,0.3461318,-51.33,3.02,5.94,-51.33001,2.61028,4.828199,1.184893,8.25,7.218231,-1.031769,
Demo_Cris1, Male,26,-1.78,4.48,5.94,-1.780002,5.625435,4.698036,1.689525,1.73,2.405243,0.6752429,-27.05,4.48,-4.11,-27.05,4.743922,-5.449298,1.365055,4.97,4.574158,-0.3958421,-51.33,0.086,5.94,-51.33001,-0.4148529,7.092045,1.256209,8.25,6.107605,-2.142395,
Demo_Cris1, Male,27,-1.78,1.16,-5.31,-1.78,0.6769686,-8.184001,2.91431,1.73,2.25116,0.5211596,-27.05,3.36,-5.31,-27.05,3.101116,-8.905193,3.604502,4.97,3.835632,-1.134367,-51.33,0.086,4.55,-51.33,1.177849,1.943299,2.826133,8.25,5.419312,-2.830688,
Demo_Cris1, Male,28,-1.78,0.086,-4.11,-1.78,-0.4449522,-5.379203,1.375786,1.73,1.824341,0.0943408,-27.05,2.69,5.94,-27.05,4.733903,5.268989,2.151231,4.97,3.010254,-1.959746,-51.33,3.36,-5.31,-51.33,5.114537,-5.449256,1.760055,8.25,5.430359,-2.819641,
Demo_Cris1, Male,29,-1.78,0.086,-2.86,-1.780001,0.9674593,-2.524319,0.9432136,1.73,1.85199,0.1219897,-27.05,4.48,4.55,-27.05,5.945973,6.50109,2.440456,4.97,4.544617,-0.4253831,-51.33,3.36,5.94,-51.33001,4.022685,5.910038,0.6633617,8.25,6.221008,-2.028992,
Demo_Cris1, Male,30,-1.78,2.48,-5.31,-1.78,2.950855,-7.102152,1.852974,1.73,2.076599,0.3465991,-27.05,0.086,5.94,-27.05,0.6268946,4.908373,1.164826,4.97,3.179871,-1.790129,-51.33,4.48,-4.11,-51.33,6.106217,-5.619545,2.218853,8.25,5.869751,-2.380249,
